student,score_num,Fundraising chart type,Tableau use,Data format usefulness,FOIA withholding,Tasks we don't do,FEC stories,Misleading vis,Stats inference,API abbrv,Big data analysis,Web page languages,Pct change,Spreadsheet setup
A,7,,,,,,,,,,,,,
B,3,,,,,,,,,,,,,
C,11,,,,,,,,,,,,,
D,6,,,,,,,,,,,,,
E,11,,,,,,,,,,,,,
F,10,,,,,,,,,,,,,
G,7,,,,,,,,,,,,,
H,2,,,,,,,,,,,,,
I,7,,,,,,,,,,,,,
total,,2,5,2,4,5,5,2,5,7,6,9,7,5
