REPORT_DAT,SHIFT,OFFENSE,METHOD,BLOCK,DISTRICT,PSA,WARD,ANC,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,START_DATE,END_DATE,day
9/24/17 20:32,EVENING,THEFT/OTHER,OTHERS,700 - 723 BLOCK OF 14TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17166200,397228,136778,9/24/17 19:30,9/24/17 20:30,1
10/1/17 17:33,EVENING,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17170403,397497,136718,10/1/17 15:42,10/1/17 17:33,1
10/7/17 23:22,MIDNIGHT,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF F STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17174087,397496,136610,10/7/17 17:32,10/7/17 18:05,7
9/25/17 11:58,DAY,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 12TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17166505,397563,136664,9/25/17 10:51,9/25/17 11:58,2
8/1/17 18:39,EVENING,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17131993,397329,136718,8/1/17 12:00,8/1/17 12:07,3
8/2/17 9:18,DAY,THEFT/OTHER,OTHERS,1100 - 1199 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17132393,397609,136718,7/31/17 9:00,7/31/17 19:30,2
8/17/17 22:37,EVENING,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF F STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17142269,397328,136611,8/17/17 21:00,8/17/17 21:30,5
8/19/17 15:17,EVENING,ROBBERY,OTHERS,600 - 699 BLOCK OF 15TH STREET NW,2,207,2,2A,,006202 1,6202,Precinct 2,17143275,397081,136664,8/19/17 13:30,8/19/17 13:35,7
1/10/18 23:30,MIDNIGHT,THEFT/OTHER,OTHERS,600 - 699 BLOCK OF 13TH STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,18005198,397430,136664,12/9/17 20:34,1/2/18 21:00,7
1/10/18 22:07,EVENING,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF F STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,18005257,397328,136611,1/10/18 18:40,1/10/18 18:45,4
8/26/17 16:43,EVENING,THEFT/OTHER,OTHERS,1300 - 1399 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17147747,397329,136718,8/26/17 14:53,8/26/17 14:57,7
8/28/17 16:47,EVENING,THEFT/OTHER,OTHERS,1200 - 1299 BLOCK OF G STREET NW,1,101,2,2C,Cluster 8,005800 1,5800,Precinct 129,17148887,397497,136718,8/28/17 12:30,8/28/17 12:45,2
9/4/17 4:50,MIDNIGHT,ROBBERY,OTHERS,1200 - 1299 BLOCK OF NEW YORK AVENUE NW,1,101,2,2C,Cluster 8,010100 1,10100,Precinct 129,17152943,397497,136959,9/4/17 2:30,9/4/17 4:50,2
